SiteID,Taxon ID,Scientific name,Sc,V,I,F,N,P,Se,No of guilds
4,6001915,Chrysuronia oenone,0,0,1,0,1,0,0,2
4,6001930,Amazilia chionogaster,0,0,1,0,1,0,0,2
4,6001937,Amazilia lactea,0,0,1,0,1,0,0,2
4,6002270,Glaucidium brasilianum,0,0,1,0,0,0,0,1
4,6003339,Elanoides forficatus,0,0,1,0,0,0,0,1
4,6003499,Buteo magnirostris,0,1,1,0,0,0,0,2
4,6003563,Daptrius ater,0,1,1,0,0,0,0,2
4,6003609,Falco rufigularis,0,1,1,0,0,0,0,2
4,6003817,Coragyps atratus,1,0,0,0,0,0,0,1
4,6003818,Cathartes aura,1,0,0,0,0,0,0,1
4,6004047,Mionectes macconnelli,0,0,1,1,0,0,0,2
4,6004083,Poecilotriccus latirostris,0,0,1,0,0,0,0,1
4,6004088,Todirostrum cinereum,0,0,1,0,0,0,0,1
4,6004092,Todirostrum chrysocrotaphum,0,0,1,0,0,0,0,1
4,6004141,Elaenia albiceps,0,0,1,1,0,0,0,2
4,6004212,Myiornis ecaudatus,0,0,1,0,0,0,0,1
4,6004227,Tolmomyias flaviventris,0,0,1,1,0,0,0,2
4,6004387,Myiarchus ferox,0,0,1,1,0,0,0,2
4,6004408,Tyrannus melancholicus,0,0,1,0,0,0,0,1
4,6004448,Pachyramphus polychopterus,0,0,1,1,0,0,0,2
4,6004564,Machaeropterus pyrocephalus,0,0,1,1,0,0,0,2
4,6004593,Taraba major,0,1,1,0,0,0,0,2
4,6004601,Thamnophilus doliatus,0,0,1,0,0,0,0,1
4,6004636,Thamnomanes ardesiacus,0,0,1,0,0,0,0,1
4,6004762,Rhegmatorhina melanosticta,0,0,1,0,0,0,0,1
4,6004845,Synallaxis albigularis,0,0,1,0,0,0,0,1
4,6004857,Synallaxis gujanensis,0,0,1,0,0,0,0,1
4,6005554,Cyclarhis gujanensis,0,0,1,0,0,0,0,1
4,6005605,Hylophilus ochraceiceps,0,0,1,0,0,0,0,1
4,6006358,Myadestes ralloides,0,0,1,1,0,0,0,2
4,6006948,Thryothorus coraya,0,0,1,0,0,0,0,1
4,6006969,Troglodytes aedon,0,0,1,0,0,0,0,1
4,6008998,Ammodramus aurifrons,0,0,1,0,0,0,1,2
4,6009199,Coereba flaveola,0,0,0,0,1,0,0,1
4,6009200,Conirostrum speciosum,0,0,1,0,0,0,0,1
4,6009250,Thlypopsis sordida,0,0,1,1,0,0,1,3
4,6009308,Ramphocelus carbo,0,0,1,1,0,0,0,2
4,6009525,Volatinia jacarina,0,0,0,0,0,0,1,1
4,6009551,Sporophila castaneiventris,0,0,0,1,0,0,1,2
4,6009633,Saltator maximus,0,0,0,1,1,1,0,3
4,6009635,Saltator coerulescens,0,0,1,1,1,1,1,5
4,60031112,Momotus momota,0,1,1,1,0,0,0,3
4,60032179,Myrmeciza hemimelaena,0,0,1,0,0,0,0,1
5,60014,Tinamus major,0,0,0,1,0,0,1,2
5,60020,Crypturellus cinereus,0,0,0,1,0,0,1,2
5,60021,Crypturellus soui,0,0,0,1,0,1,1,3
5,60023,Crypturellus obsoletus,0,0,0,0,0,0,1,1
5,60025,Crypturellus undulatus,0,0,1,1,0,0,1,3
5,60036,Crypturellus variegatus,0,0,1,1,0,0,1,3
5,60082,Penelope jacquacu,0,0,0,1,0,0,0,1
5,600100,Mitu mitu,0,0,0,1,0,0,0,1
5,600324,Odontophorus gujanensis,0,0,1,1,0,0,0,2
5,600663,Veniliornis passerinus,0,0,1,0,0,0,0,1
5,600677,Piculus chrysochloros,0,0,1,0,0,0,0,1
5,600693,Celeus grammicus,0,0,1,1,0,0,0,2
5,600696,Celeus elegans,0,0,1,0,0,0,0,1
5,600699,Celeus flavus,0,0,1,0,0,0,0,1
5,600711,Campephilus rubricollis,0,0,1,0,0,0,0,1
5,600831,Eubucco richardsoni,0,0,1,1,0,0,0,2
5,600854,Pteroglossus beauharnaesii,0,0,0,1,0,0,0,1
5,600884,Galbula albirostris,0,0,1,0,0,0,0,1
5,600893,Galbula dea,0,0,1,0,0,0,0,1
5,600912,Malacoptila rufa,0,0,1,0,0,0,0,1
5,600914,Malacoptila mystacalis,0,0,1,0,0,0,0,1
5,600915,Micromonacha lanceolata,0,0,1,0,0,0,0,1
5,600925,Monasa morphoeus,0,1,1,0,0,0,0,2
5,6001001,Pharomachrus pavoninus,0,0,0,1,0,0,0,1
5,6001056,Baryphthengus martii,0,1,1,1,0,0,0,3
5,6001305,Coccyzus euleri,0,0,1,0,0,0,0,1
5,6001312,Piaya cayana,0,0,1,0,0,0,0,1
5,6001554,Ara severus,0,0,0,1,0,1,1,3
5,6001569,Aratinga leucophthalma,0,0,0,1,1,0,1,3
5,6001594,Pyrrhura picta,0,0,0,1,1,0,0,2
5,6001618,Forpus modestus,0,0,0,0,0,0,1,1
5,6001640,Pionites leucogaster,0,0,0,0,1,0,1,2
