SiteID,Study,TaxonID,Species,Abundance
6,3,6004408,Tyrannus melancholicus,1.6
6,3,6004414,Tyrannus savana,2.6
6,3,6004430,Myiodynastes maculatus,0.05
6,3,6004436,Legatus leucophaius,0.1
6,3,6004438,Pitangus sulphuratus,0.4
6,3,6004440,Schiffornis major,0.05
6,3,6004457,Pachyramphus minor,0.1
6,3,6004461,Tityra semifasciata,4.8
6,3,6004498,Lipaugus vociferans,0.2
6,3,6004509,Cotinga cayana,0.05
6,3,6004510,Xipholena punicea,0.2
6,3,6004537,Pipra rubrocapilla,0.05
6,3,6004540,Pipra pipra,0.05
6,3,6004541,Lepidothrix coronata,0.1
6,3,6004565,Machaeropterus regulus,0.05
6,3,6004585,Cymbilaimus lineatus,0.1
6,3,6004621,Pygiptila stellaris,0.1
6,3,6004663,Myrmotherula iheringi,0.2
6,3,6004760,Gymnopithys salvini,0.2
6,3,6004988,Automolus infuscatus,0.05
6,3,6004993,Automolus rufipileatus,0.1
6,3,6005016,Certhiasomus stictolaemus,0.1
6,3,6005018,Glyphorynchus spirurus,0.2
6,3,6005020,Nasica longirostris,0.05
6,3,6005024,Xiphocolaptes promeropirhynchus,0.05
6,3,6005034,Xiphorhynchus obsoletus,0.05
6,3,6005035,Xiphorhynchus ocellatus,0.1
6,3,6005037,Xiphorhynchus elegans,0.1
6,3,6005057,Formicarius colma,0.1
6,3,6005594,Hylophilus thoracicus,0.1
6,3,6005595,Hylophilus semicinereus,0.05
6,3,6006947,Thryothorus genibarbis,0.05
6,3,6007087,Progne subis,
6,3,6007091,Progne chalybea,
6,3,6007094,Pygochelidon cyanoleuca,
6,3,6007116,Hirundo rustica,
6,3,6009289,Habia rubica,0.1
6,3,6009308,Ramphocelus carbo,0.8
6,3,6009313,Thraupis episcopus,0.3
6,3,6009319,Thraupis palmarum,0.7
6,3,6009371,Euphonia rufiventris,0.05
6,3,6009383,Tangara mexicana,3.2
6,3,6009386,Tangara chilensis,1.8
6,3,6009393,Tangara schrankii,0.3
6,3,6009434,Dacnis lineata,0.05
6,3,6009435,Dacnis flaviventer,0.4
6,3,6009444,Cyanerpes caeruleus,0.1
6,3,6009505,Poospiza melanoleuca,0.05
6,3,6009658,Psarocolius decumanus,0.05
6,3,6009659,Psarocolius viridis,0.4
6,3,6009668,Cacicus cela,6.7
6,3,6009704,Gymnomystax mexicanus,0.05
6,3,39535965,Willisornis poecilinotus,0.05
6,3,60031308,Tangara velia,0.05
6,3,60032159,Capito niger,0.05
6,3,60032187,Notharchus macrorhynchos,0.2
6,3,60032193,Chlorostilbon mellisugus,0.3
6,3,60032249,Xiphorhynchus guttatus,0.1
6,3,60032352,Buteo nitidus,0.1
6,3,60032467,Pteroglossus azara,0.2
6,3,60032470,Ramphastos vitellinus,2.1
6,3,60032512,Hypocnemis cantator,0.1
6,3,60032522,Zimmerius gracilipes,0.1
6,3,60032666,Trogon viridis,0.2
6,3,60032668,Trogon melanurus,0.1
6,3,60032686,Paroaria gularis,0.05
6,3,60032703,Icterus cayanensis,0.05
7,4,600884,Galbula albirostris,0.06
7,4,6001801,Threnetes leucurus,0.06
7,4,6001805,Phaethornis superciliosus,0.48
7,4,6001810,Phaethornis bourcieri,0.06
7,4,6004046,Mionectes oleagineus,1.07
7,4,6004212,Myiornis ecaudatus,0.11
7,4,6004228,Platyrinchus saturatus,0.06
7,4,6004233,Platyrinchus platyrhynchos,0.06
7,4,6004441,Schiffornis turdina,0.23
7,4,6004534,Pipra filicauda,0.06
7,4,6004536,Pipra erythrocephala,0.53
7,4,6004541,Lepidothrix coronata,2.93
7,4,6004636,Thamnomanes ardesiacus,0.06
7,4,6004637,Thamnomanes caesius,0.35
7,4,6004653,Epinecrophylla haematonota,0.17
7,4,6004670,Dichrozona cincta,0.29
7,4,6004721,Myrmoborus myotherinus,0.11
7,4,6004730,Percnostola rufifrons,0.29
7,4,6004733,Schistocichla caurensis,0.06
7,4,6004754,Pithys albifrons,2.75
7,4,6004758,Gymnopithys leucaspis,1.43
7,4,6004768,Hylophylax naevius,0.29
7,4,6004773,Phlegopsis erythroptera,0.17
7,4,6004957,Hyloctistes subulatus,0.06
7,4,6004965,Philydor pyrrhodes,0.23
7,4,6004988,Automolus infuscatus,0.41
7,4,6004996,Sclerurus mexicanus,0.35
7,4,6004999,Sclerurus caudacutus,0.06
7,4,6005005,Xenops minutus,0.29
7,4,6005013,Dendrocincla merula,0.17
7,4,6005015,Deconychura longicauda,0.06
7,4,6005016,Certhiasomus stictolaemus,0.23
7,4,6005018,Glyphorynchus spirurus,1.19
7,4,6005035,Xiphorhynchus ocellatus,0.17
7,4,6005051,Lepidocolaptes albolineatus,0.06
7,4,6005057,Formicarius colma,0.23
7,4,6005105,Myrmothera campanisona,0.06
7,4,6006430,Turdus lawrencii,0.17
7,4,6006978,Henicorhina leucosticta,0.17
7,4,6006982,Microcerculus marginatus,0.47
7,4,6009282,Tachyphonus surinamus,0.29
7,4,6009646,Cyanocompsa cyanoides,0.06
7,4,39535965,Willisornis poecilinotus,1.61
7,4,60031112,Momotus momota,0.06
7,4,60032159,Capito niger,0.06
7,4,60032248,Dendrocincla fuliginosa,0.17
7,4,60032249,Xiphorhynchus guttatus,0.17
7,4,60032512,Hypocnemis cantator,0.35
7,4,60032648,Schistocichla leucostigma,0.06
7,4,60032682,Automolus rubiginosus,0.17
8,4,600542,Picumnus pumilus,0.15
8,4,600884,Galbula albirostris,0.08
8,4,600897,Notharchus ordii,0.08
8,4,6001801,Threnetes leucurus,0.15
8,4,6001805,Phaethornis superciliosus,0.54
8,4,6001810,Phaethornis bourcieri,0.08
