"Site","Study","PF_SF","Age","Point_obs","Mist_nets","Transect","Vocal","SpR","FDpg","FRic","qual_FRic","FEve","FDiv","FDis","RaoQ","PF_SpR","PF_FRic","PF_FEve","PF_FDiv","PF_FDis","PF_RaoQ","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp","Rao_comp"
48,18,"SF",85,"Yes","No","No","Yes",40,3.96667634253672,2.29435655684924e-11,0.743584597985211,0.890690482686674,0.793145619767817,0.0871913714887166,0.0105667600143229,29,4.9032061186605e-12,0.903171513795578,0.809250462461363,0.0952789054745677,0.0119566029975335,0.321583624127462,1.54314822873043,-0.0139154879648557,-0.0201016280133647,-0.0887030623169993,-0.123570451532523
42,16,"SF",5,"Yes","No","No","Yes",15,2.72223227703179,8.95007866404962e-12,0.921141604963856,0.912695720802571,0.82394688357231,0.145100673063154,0.0251275379134777,15,8.68674029252407e-12,0.91577184232087,0.827859181618131,0.142987403236746,0.0243902490379235,0,0.0298645628028957,-0.00336470220468597,-0.00473700326448873,0.014671261368902,0.0297809499269519
40,15,"SF",50,"Yes","No","No","Yes",21,3.25429413688727,4.19085706315313e-11,0.904947640256504,0.863934080755165,0.770913639997893,0.122361050386576,0.0245333433117,17,9.77683863132449e-14,0.92160323820892,0.843020104353636,0.0901752218210277,0.00923171692967427,0.211309093667207,6.06064435821741,-0.0646183331458587,-0.0894144493874771,0.305221416959357,0.977388096361588
36,14,"SF",4.5,"No","No","Yes","Yes",62,4.08203305426416,2.64518066979889e-11,0.753804447999094,0.822231656711534,0.825538025093427,0.071902486948203,0.00657640676179572,108,3.83001714205538e-11,0.786167301019631,0.834762040857967,0.0644995025140467,0.00573978781124596,-0.554996842079128,-0.370129909775358,0.0448525552194803,-0.0111113778230156,0.108653342304875,0.136066268378818
37,14,"SF",11,"No","No","Yes","Yes",79,3.7016012707835,1.19115571830722e-11,0.753804447999094,0.801242287289503,0.816800969247744,0.0586531812960554,0.00444436585828668,108,3.83001714205538e-11,0.786167301019631,0.834762040857967,0.0644995025140467,0.00573978781124596,-0.312683374657198,-1.16794525123845,0.0189937613911927,-0.021751249737642,-0.0950156951360484,-0.255785048230409
38,14,"SF",27.5,"No","No","Yes","Yes",70,3.32515781986912,4.41977532288442e-12,0.753804447999094,0.791798350675879,0.819993918207388,0.0601433678096641,0.00464755364389612,108,3.83001714205538e-11,0.786167301019631,0.834762040857967,0.0644995025140467,0.00573978781124596,-0.433635985074861,-2.15936550903804,0.00713713071427416,-0.0178497798170936,-0.0699263353234172,-0.211081259892048
34,13,"SF",17.5,"Yes","No","No","Yes",140,6.34426975196675,9.01158022032412e-12,0.74386086956019,0.82397659893115,0.823558213938455,0.0615676646765612,0.00486418132029884,125,4.97985440818921e-11,0.7996251656975,0.823559377317235,0.0638440221649405,0.00595435372752413,0.113328685307002,-1.7094753068942,0.0299990551615124,-1.41262382943874e-06,-0.0363061463568854,-0.20222424890237
32,12,"SF",16.5,"Yes","Yes","Yes","Yes",125,5.07397808354762,4.3280361985074e-12,0.748991021905998,0.804524419378133,0.837046217256675,0.0575133194246792,0.00387959610461949,178,1.25867803207332e-10,0.725746488439221,0.821175134674699,0.0670689364518949,0.00669934782572343,-0.353469812989784,-3.37011826997692,0.1030505550898,0.0191428812849224,-0.153704429554183,-0.546279130745681
30,11,"SF",40,"Yes","Yes","No","Yes",29,2.86781528196381,2.56904454068324e-11,0.848548166111113,0.850478436474029,0.835212966225757,0.104502961714434,0.0133417092887097,29,1.95445277481974e-11,0.858077010977565,0.839391664590749,0.100797697447584,0.0125585772128643,0,0.273423812051895,-0.00889479426970832,-0.00499067894747721,0.0360999001736975,0.0604912894732035
25,9,"SF",5,"Yes","Yes","No","Yes",202,9.00114871333773,6.54235294863151e-11,0.708842257809274,0.825898886785403,0.837636188875245,0.0609008391468804,0.00462723213848394,156,9.02976848299616e-11,0.821353707995979,0.830019263063688,0.065156468339679,0.0061138789976125,0.258411690151668,-0.322229849608139,0.00551851044424823,0.00913495502965136,-0.0675446287283794,-0.278602553162185
