TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value,Body_length_HBW,Body_mass_HBW,Breeding_HBW,Movement_patt_HBW
6009250,Thlypopsis sordida,Thlypopsis sordida,Orange-headed Tanager,50,0,0,0,0,0,30,0,20,0,0,0,0,0,70,30,0,0,17,13,16.5,N,Not a Migrant
6009253,Hemithraupis guira,Hemithraupis guira,Guira Tanager,80,0,0,0,0,0,10,0,10,0,0,0,0,0,10,90,0,0,12,13,11.75,N,Full Migrant
6009265,Mitrospingus cassinii,Mitrospingus cassinii,Dusky-faced Tanager,20,0,0,0,0,0,40,0,40,0,0,0,0,70,20,10,0,0,40.4,18,36.5,N,Not a Migrant
6009267,Chlorothraupis carmioli,Chlorothraupis carmioli,Olive Tanager,80,0,0,0,0,0,10,0,10,0,0,0,0,40,30,30,0,0,39,16,37.25,N,Not a Migrant
6009269,Chlorothraupis stolzmanni,Chlorothraupis stolzmanni,Ochre-breasted Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,30,60,10,0,0,38.8,17,39.8,N,Not a Migrant
6009271,Eucometis penicillata,Eucometis penicillata,Grey-headed Tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,90,10,0,0,0,27,16.5,29.75,N,Not a Migrant
6009272,Lanio fulvus,Lanio fulvus,Fulvous Shrike-tanager,80,0,0,0,0,0,0,0,20,0,0,0,0,10,80,10,0,0,24,16,24.5,N,Not a Migrant
6009273,Lanio versicolor,Lanio versicolor,White-winged Shrike-tanager,70,0,0,0,0,0,30,0,0,0,0,0,0,0,20,60,20,0,17,14,16.5,N,Not a Migrant
6009280,Tachyphonus cristatus,Tachyphonus cristatus,Flame-crested Tanager,30,0,0,0,0,0,50,0,10,10,0,0,0,10,20,70,0,0,18.8,15,19.8,N,Not a Migrant
6009281,Tachyphonus rufiventer,Tachyphonus rufiventer,Yellow-crested Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,0,70,20,10,0,19,15,17.75,N,Not a Migrant
6009282,Tachyphonus surinamus,Tachyphonus surinamus,Fulvous-crested Tanager,50,0,0,0,0,0,40,0,10,0,0,0,0,40,40,20,0,0,19,16,21,N,Not a Migrant
6009283,Tachyphonus luctuosus,Tachyphonus luctuosus,White-shouldered Tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,20,50,30,0,0,13,13.5,13.25,N,Not a Migrant
6009284,Tachyphonus delatrii,Tachyphonus delatrii,Tawny-crested Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,0,80,20,0,0,18,14,17.5,N,Not a Migrant
6009285,Tachyphonus coronatus,Tachyphonus coronatus,Ruby-crowned Tanager,60,0,0,0,0,0,20,0,20,0,0,0,0,20,40,40,0,0,29.3,16,29.5,N,Not a Migrant
6009286,Tachyphonus rufus,Tachyphonus rufus,White-lined Tanager,60,0,0,0,0,0,30,0,10,0,0,0,20,50,10,10,10,0,34.4,17,34.1,N,Not a Migrant
6009288,Trichothraupis melanops,Trichothraupis melanops,Black-goggled Tanager,70,0,0,0,0,0,20,0,10,0,0,0,30,30,20,10,10,0,22.58,16,23.3,N,Not a Migrant
6009289,Habia rubica,Habia rubica,Red-crowned Ant-tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,40,60,0,0,0,32.46,18,32.525,N,Not a Migrant
6009290,Habia fuscicauda,Habia fuscicauda,Red-throated Ant-tanager,70,0,0,0,0,0,20,0,10,0,0,0,10,60,30,0,0,0,36.84,19,37.75,N,Not a Migrant
6009295,Piranga flava,Piranga flava,Hepatic Tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,10,30,60,0,0,37.7,18,35,N,Full Migrant
6009296,Piranga rubra,Piranga rubra,Summer Tanager,90,0,0,0,0,0,10,0,0,0,0,0,0,20,30,30,20,0,29.13,17.5,31,N,Full Migrant
6009298,Piranga olivacea,Piranga olivacea,Scarlet Tanager,80,0,0,0,0,0,10,0,0,10,0,0,10,10,40,40,0,0,28.2,17,28.25,N,Full Migrant
6009299,Piranga ludoviciana,Piranga ludoviciana,Western Tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,0,30,40,30,0,28.1,17,29.25,N,Full Migrant
6009300,Piranga leucoptera,Piranga leucoptera,White-winged Tanager,50,0,0,0,0,0,30,0,20,0,0,0,0,10,50,40,0,0,16,13,16.5,N,Not a Migrant
6009304,Ramphocelus sanguinolentus,Ramphocelus sanguinolentus,Crimson-collared Tanager,40,0,0,0,0,0,20,0,30,10,0,0,60,30,10,0,0,0,41,17,41.5,N,Not a Migrant
6009308,Ramphocelus carbo,Ramphocelus carbo,Silver-beaked Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,50,40,10,0,0,25.92,16.5,27.375,N,Not a Migrant
6009310,Ramphocelus passerinii,Ramphocelus passerinii,Scarlet-rumped Tanager,50,0,0,0,0,0,50,0,0,0,0,0,20,50,30,0,0,0,32,16,31.25,N,Not a Migrant
6009311,Ramphocelus flammigerus,Ramphocelus flammigerus,Flame-rumped Tanager,30,0,0,0,0,0,70,0,0,0,0,0,10,30,40,20,0,0,33,18,31.15,N,Not a Migrant
6009313,Thraupis episcopus,Thraupis episcopus,Blue-grey Tanager,40,0,0,0,0,0,50,0,0,10,0,0,0,10,90,0,0,0,35,16,36,N,Not a Migrant
